product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
MUESLI CROUST 9 CHOCO 500G 2 X 3.65 EUR;7.3;//;Céréales du petit-déjeuner;01.1.1.4.0;112;Supermarchés, magasins multi-commerces
MELANGE SAUCE CHIEN DESHY;1.29;//;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
FARINE BLE 1KG LPG 2 X 0.79;1.58;//;Farine de céréales (ND);01.1.1.2;112;Supermarchés, magasins multi-commerces
LT CONCENTRE 397GR SUCRE;1.49;//;Lait concentré ou lait évaporé;01.1.4.3.1;112;Supermarchés, magasins multi-commerces
LAIT CONCENTRE 410G LP;1.49;//;Lait concentré ou lait évaporé;01.1.4.3.1;112;Supermarchés, magasins multi-commerces
B OR SAUCE BARBECUE FS 39 2 X 1.99;3.98;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
BOUTON DOR NOIX DE CAJOU;2.49;//;Noix de cajou, en coque ou décortiquées;01.1.6.8.2;112;Supermarchés, magasins multi-commerces
BO CACAHUETES SANS SEL 20;1.25;//;Noix, en coque ou décortiquées (ND);01.1.6.8;112;Supermarchés, magasins multi-commerces
TUILES APERO SALEES 170G 2 X 2.09 EUR;4.18;//;Chips;01.1.7.9.4.2;112;Supermarchés, magasins multi-commerces
B OR MOUTARDE ANCIENNE 35;1.65;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
BOUTON OR SAUCE FRITE 350;2.09;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
CHAIR TOMATE NATURE 1/2 4;1.29;//;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
HARICOT VERT TRES FIN 4/4 2 X 1.59 EUR;3.18;//;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
MAIS DOUX CROQUANT 1/2 28 2 X 0.89 EUR;1.78;//;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
PTS POIS EXTRA FINS 4/4L;1.95;//;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
SAUCISSON SEC 90G;1.99;//;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;112;Supermarchés, magasins multi-commerces
LARDON FUMES 200GR LP;2.39;//;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
DES JAMBON CUIT 200G LP 2 X 2.39 EUR;4.7;//;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
PAT EDAM TRANCHES 200G;1.99;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
MIMOLETTE BOT 0.166 KG X 12.79 EUR/KG;2.12;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
YAOURT MIXES 8X125G LP;3.15;//;Yaourt et produits similaires;01.1.4.6.0;112;Supermarchés, magasins multi-commerces
JAMBON SUPERIEUR AC 6TR 2;2.99;//;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
IDS PLATEAU ITALIEN 200G;5.39;//;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
RANOU MINI SAUCISSON NATU 2 X 3.89 EUR;7.78;//;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;112;Supermarchés, magasins multi-commerces
SAUCISSES STRASBOURG X20 2 X 3.89;7.78;//;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;112;Supermarchés, magasins multi-commerces
BACON 10 TRANCHES LP 0.217KG X 19.85 EUR/KG;4.31;//;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
BAVETTE DE FLANCHET 5 PIE 0.472 KG X 16.99 EUR/KG;8.02;//;Viande de bovins fraîche réfrigérée ou congelée;01.1.2.2.1;112;Supermarchés, magasins multi-commerces
DISQUE A DEMAQUILLER X120;0.99;//;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;112;Supermarchés, magasins multi-commerces
TOP BUDGET SACH BATONNETS 2 X 0.58 EUR;1.16;//;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;112;Supermarchés, magasins multi-commerces
LING. MULTI. USAG. FLORAL X8;1.99;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
DOMEDIA FILM ETIRABLE 30M;1.75;//;Autres biens domestiques non durables (ND);05.6.1.9;112;Supermarchés, magasins multi-commerces
LABELL RECH. CRM. LAV. LAIT;1.75;//;Savons, dentifrices et produits de toilette;13.1.2.0.3;112;Supermarchés, magasins multi-commerces
BLOCS VC EAU BLEUE 2X250G 2 X 0.87 EUR;1.74;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
2 TAPETTES SOURIS CHOC HU;1.59;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
APTA EPONGE COULEUR X3;1.45;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
DEBOUCHEUR GEL 1L LP;2.09;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
PAQUITO JUS POMME ABC 6X2 2 X 2.45 EUR;4.9;//;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
PATE GOYAGE VRAC 6 X 0.89 EUR;5.34;//;Préparations homogénéisées de fruits;01.1.6.9.3;112;Supermarchés, magasins multi-commerces
PAIN AUX RAISINS X5 PUR B 1.000KG X 3.95 EUR/KG;3.95;//;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
MAT CPL SSA;7.95;LEADER PRICE;Illisible ou indéterminé;98.4;113;Magasins maxi-discompte
SUCRE DE CANNE GALION 1KG;2.15;LEADER PRICE;Sucre de canne;01.1.8.1.1;113;Magasins maxi-discompte
DOLCE GUSTO NESQUIK 256G;6.43;LEADER PRICE;Chocolat, y compris le chocolat blanc;01.1.8.5.1;113;Magasins maxi-discompte
DOLC GUST DOUB EXPRE NESCA 136;6.43;LEADER PRICE;Café;01.2.2.0.1;113;Magasins maxi-discompte
ORAL B MENTHE VERTE HOLLYW 77G;3.99;LEADER PRICE;Savons, dentifrices et produits de toilette;13.1.2.0.3;113;Magasins maxi-discompte
MONT PELE REFRESH COCKTAIL 2L;2.25;LEADER PRICE;Jus de fruits et de légumes (ND);01.2.1.0.0;113;Magasins maxi-discompte
MT PELE REFRESH FR. RGES 2L;2.25;LEADER PRICE;Jus de fruits et de légumes (ND);01.2.1.0.0;113;Magasins maxi-discompte
KARULINE NATURE 1.5L X6 4 X 3.05â‚¬;12.2;LEADER PRICE;Eau;01.2.5.0.0;113;Magasins maxi-discompte
DOVE BSE ORIG CAISSE LIDL;3.4;LEADER PRICE;Savons, dentifrices et produits de toilette;13.1.2.0.3;113;Magasins maxi-discompte
DOVE AP BASE POWDER 200ML;3.4;LEADER PRICE;Savons, dentifrices et produits de toilette;13.1.2.0.3;113;Magasins maxi-discompte
EMMENTAL RAPE EVEN 1KG;9.99;LEADER PRICE;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
12 UFS BONNAIRE CALIBRE M;3.9;LEADER PRICE;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;113;Magasins maxi-discompte
LAIT UHT 1/2 ECREME FERMES DE F 4 X 1.04â‚¬;4.16;LEADER PRICE;Lait écrémé;01.1.4.2.0;113;Magasins maxi-discompte
MANDARINE NARCOTTE 0.722KG X 3.50â‚¬/KG;2.53;LEADER PRICE;Mandarines et clémentines, fraîches;01.1.6.2.4;113;Magasins maxi-discompte
POMME GOLDEN VRAC 0.862KG X 2.99â‚¬/KG;2.58;LEADER PRICE;Pommes, fraîches;01.1.6.3.1;113;Magasins maxi-discompte
PAIN CHOCOLAT NATURE X10;2.99;LEADER PRICE;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
LARDON FUME 2X130G + 15% OFF;2.99;LEADER PRICE;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;113;Magasins maxi-discompte
TUC CRACK POCKET LU 2X2.99;5.98;//;Autres produits de boulangerie;01.1.1.3.9.4;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
CHIPS ONDULEE NATURE 2X2.80;5.6;//;Chips;01.1.7.9.4.2;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
CHIPS LAY S SEL 145G 1X2.39;2.39;//;Chips;01.1.7.9.4.2;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
KINDER JOY TRIPACK 1X3.39;3.39;//;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
GEL 500ML 1X13.19;13.19;//;Savons, dentifrices et produits de toilette;13.1.2.0.3;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
SAUCE CREOLINE MAN B 1X2.99;2.99;//;Autres sauces et condiments;01.1.9.3.9;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
15 SAC LIEN COUL 50LV 1X2.50;2.5;//;Autres biens domestiques non durables (ND);05.6.1.9;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
CREME DEPIL. JAMB. COR 1X6.10;6.1;//;Savons, dentifrices et produits de toilette;13.1.2.0.3;11;Commerce de détail à prédominance alimentaire en magasin non spécialisé
KINDER COUNTRY 4 X 23,5 G;1.59;//;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;112;Supermarchés, magasins multi-commerces
ARACHIDE BLANCHE BQT 0.286 KG 8,25€/KG;2.36;//;Noix, en coque ou décortiquées (ND);01.1.6.8;112;Supermarchés, magasins multi-commerces
KROUSTILLAN FROMAGE 40G LP;0.75;//;Autres produits de boulangerie;01.1.1.3.9.4;112;Supermarchés, magasins multi-commerces
ZWELL SODA CITRON 2L LP;1.79;//;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
FANTASY TOYS WATER GUN 4;2.99;//;Autres jeux jouets et passe-temps (SD);09.2.1.2;112;Supermarchés, magasins multi-commerces
DOM GOBELET PLAST X10 22CL;1.69;//;Autres biens domestiques non durables (ND);05.6.1.9;112;Supermarchés, magasins multi-commerces
BIEN BON EMMENTAL TRANCH 20;2.89;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
RANOU MINI SAUCISSON NATURE7;1.85;//;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;112;Supermarchés, magasins multi-commerces
PAVE PUR PORC 90G;2.15;//;Viande de porc, fraîche, réfrigérée ou congelée;01.1.2.2.2;112;Supermarchés, magasins multi-commerces
PAIN POINT CHAUD 2 X 1,25€;2.5;//;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
PAIN AU CHOCOLAT PUR BEUR X5 1 X 3,55€;3.55;//;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
LAIT 1/2 ECREME UHT 6 X 1L;8.1;//;Lait écrémé;01.1.4.2.0;112;Supermarchés, magasins multi-commerces
LAIT 1/2 ECREME 6 X 1L LAIT 4 X 6,54;26.16;//;Lait écrémé;01.1.4.2.0;112;Supermarchés, magasins multi-commerces
T.BUDGET JUS RAISIN ABC B 2 X 1,74EUR;3.48;//;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
T.BUDGET JUS ORANGE ABC B 2 X 1,55EUR;3.1;//;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
ZWELL SODA CAMPANE 2L LP;1.69;//;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
ZWELL SODA CITRON 2L LP;1.69;//;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
ZWELL SODA BANANE 2L LP;1.69;//;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
PAQUITO SIROP PECH/FRB BI;2.95;//;Autres boissons non alcoolisées;01.2.9.0.0;112;Supermarchés, magasins multi-commerces
IDS NOUILLE SVEUR CREVET 2 X 1,79EUR;3.58;//;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
IDS NOUILLE SVEUR POULET;1.79;//;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
TB SUCRE POUDRE 1KG;2.28;//;Sucre de canne et de betterave (ND);01.1.8.1;112;Supermarchés, magasins multi-commerces
ARACHIDE BLANCHE BQT 0,265 KG X 7,95EUR/KG;2.11;//;Noix, en coque ou décortiquées (ND);01.1.6.8;112;Supermarchés, magasins multi-commerces
ARACHIDE BLANCHE BQT 0,250 KG X 7,95EUR/KG;1.99;//;Noix, en coque ou décortiquées (ND);01.1.6.8;112;Supermarchés, magasins multi-commerces
BOUTON DOR MAYON NAT.F/S 2 X 2,49EUR;4.98;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
TOMATO KETCHUP EPICE 560G 2 X 2,09EUR;4.18;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
CANNELLE POUDRE 55G;1.35;//;Épices, herbes culinaires et graines;01.1.9.4.0;112;Supermarchés, magasins multi-commerces
SEL/CELERI FL.VERRE COLUM;0.95;//;Sel;01.1.9.3.1;112;Supermarchés, magasins multi-commerces
SNACK FROMAGE 75G LP;1.15;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
4/4 CASSOULET CREOLE H.BL;3.95;//;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;112;Supermarchés, magasins multi-commerces
RANOU PATE CAMPAG 1/10 X 3;2.09;//;Pâté, y compris pâté de foie;01.1.2.5.3;112;Supermarchés, magasins multi-commerces
OD THN MIET HTOURN 240G 3;2.89;//;Thons, listao ou bonites à ventre rayé, vivants, frais, réfrigérés ou congelés;01.1.3.1.5;112;Supermarchés, magasins multi-commerces
ODYSSEE FLT MAQX MOUTARD;1.74;//;Autres poissons pélagiques, préparés ou conservés;01.1.3.3.2;112;Supermarchés, magasins multi-commerces
ST ELOI RATATOUILLE 1/2 3;1.09;//;Salades composées et plats préparés à base de légumes;01.1.9.1.3;112;Supermarchés, magasins multi-commerces
HUILE DE TOURNESOL 1L PPX 2 X 1,95EUR;3.9;//;Tournesol - graines et carthame - huile de graines;01.1.5.1.1;112;Supermarchés, magasins multi-commerces
FIORINI SPAGHETTI 1KG;2.22;//;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
THYM FLACON 15GR LP;0.59;//;Épices, herbes culinaires et graines;01.1.9.4.0;112;Supermarchés, magasins multi-commerces
FIORINI TORTI C.RAPIDE 50;1.23;//;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
YAOURT MIXES 16 X 125G LP;5.95;//;Yaourt et produits similaires;01.1.4.6.0;112;Supermarchés, magasins multi-commerces
EMMENTAL RAPE 200G LP 3 X 2,37EUR;7.11;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
COLINS SALES SECHES 1KG;9.95;//;Poissons séchés, salés, en saumure ou fumés (ND);01.1.3.2;112;Supermarchés, magasins multi-commerces
20 OEUFS FRAIS LOCAUX LP;6.29;//;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;112;Supermarchés, magasins multi-commerces
PDT LAVEE 5KG 45+;7.99;//;Pommes de terre;01.1.7.5.1;112;Supermarchés, magasins multi-commerces
CELERI BOTTE;1.99;//;Autres légumes n.c.a., mélanges de légumes, frais ou réfrigérés;01.1.7.4.9;112;Supermarchés, magasins multi-commerces
BOTTE THYM + PERSIL MARTINI;1.99;//;Épices, herbes culinaires et graines;01.1.9.4.0;112;Supermarchés, magasins multi-commerces
POMME GOLDEN 0,938 KG X 2,99EUR/KG;2.8;//;Pommes, fraîches;01.1.6.3.1;112;Supermarchés, magasins multi-commerces
PASTEQUE SUGAR 6,185 KG X 1,49EUR/KG;9.22;//;Pastèques, fraîches;01.1.6.5.4;112;Supermarchés, magasins multi-commerces
OIGNON JAUNE VRAC 1,052 KG X 1,75EUR/KG;1.84;//;Oignons et échalotes, frais ou réfrigérés;01.1.7.4.3;112;Supermarchés, magasins multi-commerces
TI-NAIN MARTINIQUE 1.366KG X 0.99 EUR/KG;1.35;//;Bananes, fraîches;01.1.6.1.2;112;Supermarchés, magasins multi-commerces
CONCOMBRE 1.172 KG X 2.49 EUR/KG;2.92;//;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;112;Supermarchés, magasins multi-commerces
AIL VIOLET CAL 5+ C2 0.264 KG X 6.99 EUR/KG;1.85;//;Ail, frais ou réfrigéré;01.1.7.4.2;112;Supermarchés, magasins multi-commerces
CHOU CARAIBES C2 0.904 KG X 6.80 EUR/KG;6.15;//;Choux, frais ou réfrigérés;01.1.7.1.2;112;Supermarchés, magasins multi-commerces
CUISSES DE POULET VRAC 10;25.45;//;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;112;Supermarchés, magasins multi-commerces
T. BUDGET POMMES FRITES 2;4.75;//;Pommes de terre;01.1.7.5.1;112;Supermarchés, magasins multi-commerces
ODYSSE SEICHE ENT CRU 500;6.99;//;Céphalopodes, vivants, frais, réfrigérés ou congelés;01.1.3.4.4;112;Supermarchés, magasins multi-commerces
PAIN POINT CHAUD 4 X 1.09 EUR;4.36;//;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
POMMETTE LINGETTE DEBARB.;0.94;//;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;112;Supermarchés, magasins multi-commerces
10 KG CROQUETT VIANDE 1X16.80;16.8;//;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
1.2L ADOUC CONC PREM 1X3.25;3.25;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
CARESSE ANTILLAISE T 1X2.39;2.39;//;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
CONC. SUNQUICK ORANG 1X6.29;6.29;//;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
SIROP MOJITO 100CL 1X4.55;4.55;//;Autres boissons non alcoolisées;01.2.9.0.0;112;Supermarchés, magasins multi-commerces
LIQUIDE VAISSELLE MA 1X5.99;5.99;//;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
BEURRE DE CACAO YONA 1X7.60;7.6;//;Autres aliments à base de cacao et préparations pour desserts à base de cacao;01.1.8.5.9;112;Supermarchés, magasins multi-commerces
SUCRE BLC MRX ST LOU 1X1.99;1.99;//;Sucre de canne et de betterave (ND);01.1.8.1;112;Supermarchés, magasins multi-commerces
JAMBON CUIT SUP AC F 1X2.29;2.29;//;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
EMMENTAL TRANCHES CR 1X2.75;2.75;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
PHILADELPHIA FROM. NA 1X1.95;1.95;//;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
SAUCE LESIEUR KETCHU 2X1.89;3.78;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
PIMENT VEGETARIEN VR 0.186KG;1.86;//;Épices, herbes culinaires et graines;01.1.9.4.0;112;Supermarchés, magasins multi-commerces
AVOCAT 0.848KG;5.51;//;Avocats, frais;01.1.6.1.1;112;Supermarchés, magasins multi-commerces
ANANAS L 1.676KG;6.69;//;Ananas, frais;01.1.6.1.7;112;Supermarchés, magasins multi-commerces
KINDER CARDS 1X3.10;3.1;//;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;112;Supermarchés, magasins multi-commerces
1/2 BAGUETTE X4 1X2.15;2.15;//;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
DATTES DEGLET NOUR 5 1X2.99;2.99;//;Dattes, fraîches;01.1.6.1.3;112;Supermarchés, magasins multi-commerces
190G SAUCE BOLOGNAIS 1X1.69;1.69;//;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
RIZ LONG BLANCHI 1KG 1X1.99;1.99;//;Riz;01.1.1.1.2;112;Supermarchés, magasins multi-commerces
RIZ BLANC LONG 5 BR 2X1.49;2.98;//;Riz;01.1.1.1.2;112;Supermarchés, magasins multi-commerces
CHIPS LAY S BBQ 75G 1X1.85;1.85;//;Chips;01.1.7.9.4.2;112;Supermarchés, magasins multi-commerces
SAVON PALMOLIVE ORCH 1X4.05;4.05;//;Savons, dentifrices et produits de toilette;13.1.2.0.3;112;Supermarchés, magasins multi-commerces
CELIMENE HARICOTS RO 1X2.09;2.09;//;Haricots, secs;01.1.7.6.1;112;Supermarchés, magasins multi-commerces
CELIMENE LENTILLES B 2X1.89;3.78;//;Lentilles, sèches;01.1.7.6.4;112;Supermarchés, magasins multi-commerces
PAIN CHOCOLAT MARGAR 1X4.80;4.8;//;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
DON CROIX ROUGE 1X0.84;0.84;//;Cadeaux;99.1;112;Supermarchés, magasins multi-commerces
CERISE 500G 3,79 X 1;3.79;LIDL;Cerises, fraîches;01.1.6.3.4;113;Magasins maxi-discompte
ROBE F 5,48 X 1;5.48;LIDL;Vêtements pour femmes ou filles (SD);03.1.2.2;113;Magasins maxi-discompte
SAUCISSON SEC PUR PO 3,79 X 1;3.79;LIDL;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;113;Magasins maxi-discompte
PECHE BARQUETTE 750G 2,49 X 1;2.49;LIDL;Pêches et nectarines, fraîches;01.1.6.3.5;113;Magasins maxi-discompte
AIGUILLETTES POULET 6,99 X 1;6.99;LIDL;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;113;Magasins maxi-discompte
